Issuance Date,Sustainable Development Goals,Credit Type,Vintage Start,Vintage End,Reporting Period Start,Reporting Period End,ID,Name,Region,Country,Project Type,Methodology,Vintage Quantity,Quantity,Serial Number,Additional Certifications,Is Cancelled,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details,Input Type,Holding ID,Vintage,Issuance Year,Days to Retirement,Staleness,Status,Toucan,Toucan Bridger,Toucan Blacklisted,Country Code,Vintaged Batch Years,has_ac,technology,category
2022-02-25,,VCU,2008-01-01,2008-12-31,2008-01-01,2008-12-31,309,"Bundled grid-connected wind electricity generation project identified as Bundle E3 in Maharashtra and Gujarat, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,12081,10541,12593-420065254-420075794-VCS-VCU-337-VER-IN-1-309-01012008-31122008-0,,True,2022-03-05,0xF36729fBfcdE9A65386eb236460d8A8CfceD2156,Other,TOUCAN-1.0-137-0x48f994b7adb952fe4cce741a3829d22cba537d0523ec90732f1c59204d121aa4-1109,,162706,2008,2022,8.0,,Retired,True,https://polygonscan.com/address/0xF36729fBfcdE9A65386eb236460d8A8CfceD2156,False,IND,1.0,False,WIND,RE
2022-02-25,,VCU,2009-01-01,2009-09-01,2009-01-01,2009-09-01,309,"Bundled grid-connected wind electricity generation project identified as Bundle E3 in Maharashtra and Gujarat, India",Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,10942,9548,12594-420075795-420085342-VCS-VCU-337-VER-IN-1-309-01012009-01092009-0,,True,2022-03-05,0xF36729fBfcdE9A65386eb236460d8A8CfceD2156,Other,TOUCAN-1.0-137-0xb2e47e0cf9eb64d815de50b926e5db7cbd52805e06ae4983853d8d5726de2d57-1110,,162707,2009,2022,8.0,,Retired,True,https://polygonscan.com/address/0xF36729fBfcdE9A65386eb236460d8A8CfceD2156,False,IND,0.6657534246575343,False,WIND,RE
2022-02-10,,VCU,2011-07-01,2011-12-31,2011-07-01,2011-12-31,584,2.5 MW Rice husk based cogeneration plant at Hanuman Agro Industries Limited,Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.C.,8744,8744,12423-410321701-410330444-VCS-VCU-208-VER-IN-1-584-01072011-31122011-0,,True,2022-03-05,0xF36729fBfcdE9A65386eb236460d8A8CfceD2156,Other,TOUCAN-1.0-137-0xa611dbeb8d8accee0f090fdce1bf4ff993804764594023e4e671dc47856a01fa-1112,,160949,2011,2022,23.0,,Retired,True,https://polygonscan.com/address/0xF36729fBfcdE9A65386eb236460d8A8CfceD2156,False,IND,0.5013698630136987,False,BIOMASS,EE
2022-01-31,,VCU,2009-01-01,2009-12-31,2009-01-01,2009-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151888,870,12371-407184612-407185481-VCS-VCU-290-VER-BR-14-1094-01012009-31122009-1,Social Carbon,True,2022-02-24,0xD659a73BdBC46b479c6FA38960Fd8dB627a4455B,Other,TOUCAN-1.0-137-0xc0cfbb68fdac8fe63c04d403d1438d373fb172dea3bdbfcce36aea3f43254ff7-1087,,162354,2009,2022,24.0,,Retired,True,https://polygonscan.com/address/0xD659a73BdBC46b479c6FA38960Fd8dB627a4455B,False,BRA,0.9972602739726028,True,REDD+,REDD+
2020-12-03,,VCU,2009-01-01,2009-12-31,2009-01-01,2009-12-31,1094,Ecomapua Amazon REDD Project,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0015,151888,10,9131-70068925-70068934-VCS-VCU-290-VER-BR-14-1094-01012009-31122009-1,Social Carbon,True,2022-01-04,0xD659a73BdBC46b479c6FA38960Fd8dB627a4455B,Other,TOUCAN-1.0-137-0xd26ed104e3eb93de7f80be745c10683aa2b582cbf5d13220165b9e60a9e9e743-884,,122625,2009,2020,397.0,,Retired,True,https://polygonscan.com/address/0xD659a73BdBC46b479c6FA38960Fd8dB627a4455B,False,BRA,0.9972602739726028,True,REDD+,REDD+
2021-12-28,,VCU,2020-06-15,2021-06-14,2020-06-15,2021-06-14,1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar",Asia,Myanmar,Agriculture Forestry and Other Land Use,AR-AM0014,54137,355,12100-386867912-386868266-VCS-VCU-262-VER-MM-14-1764-15062020-14062021-0,,True,2022-04-20,0xC3b6B7bcAD0B55A5635D77235fB4B29970d4bEfd,Other,TOUCAN-1.0-137-0x3dc43effac78f8ca4e24313ce8fdd0d33e7308814df47707ad217edf3bad71b3-1162,,161553,2020,2021,113.0,,Retired,True,https://polygonscan.com/address/0xC3b6B7bcAD0B55A5635D77235fB4B29970d4bEfd,False,MMR,0.9972602739726028,False,MANGROVE,BLUE CARBON
2021-12-28,,VCU,2020-06-15,2021-06-14,2020-06-15,2021-06-14,1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar",Asia,Myanmar,Agriculture Forestry and Other Land Use,AR-AM0014,54137,466,12100-386855404-386855869-VCS-VCU-262-VER-MM-14-1764-15062020-14062021-0,,True,2022-04-20,0xC3b6B7bcAD0B55A5635D77235fB4B29970d4bEfd,Other,TOUCAN-1.0-137-0xd6cdf6d93102ac8ca2a0c454ecaeebedfb0b66fc00c3d04bd741f49888aeb167-1163,,166296,2020,2021,113.0,,Retired,True,https://polygonscan.com/address/0xC3b6B7bcAD0B55A5635D77235fB4B29970d4bEfd,False,MMR,0.9972602739726028,False,MANGROVE,BLUE CARBON
2021-12-28,,VCU,2020-06-15,2021-06-14,2020-06-15,2021-06-14,1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar",Asia,Myanmar,Agriculture Forestry and Other Land Use,AR-AM0014,54137,3379,12100-386868267-386871645-VCS-VCU-262-VER-MM-14-1764-15062020-14062021-0,,True,2022-04-20,0xC3b6B7bcAD0B55A5635D77235fB4B29970d4bEfd,Other,TOUCAN-1.0-137-0xd6cdf6d93102ac8ca2a0c454ecaeebedfb0b66fc00c3d04bd741f49888aeb167-1163,,166860,2020,2021,113.0,,Retired,True,https://polygonscan.com/address/0xC3b6B7bcAD0B55A5635D77235fB4B29970d4bEfd,False,MMR,0.9972602739726028,False,MANGROVE,BLUE CARBON
2021-12-24,,VCU,2011-01-01,2011-12-31,2011-01-01,2011-12-31,191,4×50 MW Dayingjiang- 3 Hydropower Project Phases 1&2,Asia,China,Energy industries (renewable/non-renewable sources),ACM0002,868628,6286,12077-381264194-381270479-VCS-VCU-304-VER-CN-1-191-01012011-31122011-0,,True,2022-04-19,0x5216D8d7278f8978fDb0D66f4Fe8F0C2f516B8d6,Other,TOUCAN-1.0-137-0x6c98299cb1602af28785a0237e7a4ee0bb06d19939e76016f3021c0de1170142-1159,,156094,2011,2021,116.0,,Retired,True,https://polygonscan.com/address/0x5216D8d7278f8978fDb0D66f4Fe8F0C2f516B8d6,False,CHN,0.9972602739726028,False,HYDRO,HYDRO
2021-12-24,,VCU,2011-01-01,2011-12-31,2011-01-01,2011-12-31,191,4×50 MW Dayingjiang- 3 Hydropower Project Phases 1&2,Asia,China,Energy industries (renewable/non-renewable sources),ACM0002,868628,59971,12077-381910480-381970450-VCS-VCU-304-VER-CN-1-191-01012011-31122011-0,,True,2022-03-29,0xCF237f7E640e32470587fF8e5918EAD1840c6E5A,Other,TOUCAN-1.0-137-0xf2b78ff5d6c756111cf6a186eb46db74a0b74c89bed25cd51019eed153c50f24-1138,,156132,2011,2021,95.0,,Retired,True,https://polygonscan.com/address/0xCF237f7E640e32470587fF8e5918EAD1840c6E5A,False,CHN,0.9972602739726028,False,HYDRO,HYDRO
